Carrier_name,Carrier_code
ATA Airlines (TZ),TZ
AirTran Airways (FL),FL
Alaska Airlines Inc. (AS),AS
Allegiant Air (G4),G4
Aloha Airlines Inc. (AQ),AQ
America West Airlines Inc. (HP),HP
American Airlines Inc. (AA),AA
American Eagle Airlines Inc. (MQ),MQ
Atlantic Coast Airlines (DH),DH
Atlantic Southeast Airlines (EV),EV
Comair Inc. (OH),OH (1)
Continental Airlines Inc. (CO),CO
Delta Airlines Inc. (DL),DL
Endeavor Air Inc. (9E),9E
Envoy Air (MQ),MQ
ExpressJet Airlines Inc. (EV),EV
ExpressJet Airlines Inc. (XE),XE
ExpressJet Airlines LLC (EV),EV
Frontier Airlines Inc. (F9),F9
Hawaiian Airlines Inc. (HA),HA
Horizon Air (QX),QX
Independence Air (DH),DH
JetBlue Airways (B6),B6
Mesa Airlines Inc. (YV),YV
Northwest Airlines Inc. (NW),NW
PSA Airlines Inc. (OH),OH
Pinnacle Airlines Inc. (9E),9E
Republic Airline (YX),YX
SkyWest Airlines Inc. (OO),OO
Southwest Airlines Co. (WN),WN
Spirit Airlines (NK),NK
US Airways Inc. (US),US
United Airlines Inc. (UA),UA
Virgin America (VX),VX
