CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7
Alaska Airlines Network,0,19,0,1,0,20,19,269,"4,611,884",$0
Alaska Airlines,0,1,0,1,0,2,1,117,"3,007,066",$0
Branded Codeshare Partners,0,18,0,0,0,18,18,152,"1,604,818",$0
Allegiant Airlines,0,0,0,0,0,0,0,3,"2,322,946",$0
American Airlines Network,13,149,0,22,0,184,184,"4,807","22,754,303",$0
American Airlines,7,66,0,7,0,80,80,"1,453","14,719,488",$0
Branded Codeshare Partners,6,83,0,15,0,104,104,"3,354","8,034,815",$0
Delta Air Lines Network,0,0,0,0,0,0,0,"2,892","17,278,004","$1,886,500"
Delta Air Lines,0,0,0,0,0,0,0,"1,386","12,861,197","$950,300"
Branded Codeshare Partners,0,0,0,0,0,0,0,"1,506","4,416,807","$936,200"
Frontier Airlines,0,129,12,82,0,223,129,626,"4,812,979",$0
Hawaiian Airlines Network,0,0,0,0,0,0,0,3,"729,298",$0
Hawaiian Airlines,0,0,0,0,0,0,0,3,"727,796",$0
Branded Codeshare Partners,0,0,0,0,0,0,0,0,"1,502",$0
JetBlue Airways,0,2,2,12,0,16,14,81,"3,875,067","$32,693"
Southwest Airlines,72,120,0,0,0,192,192,"1,439","17,846,213",$0
Spirit Airlines,1,34,0,76,0,111,35,"1,683","5,236,309",$0
United Airlines Network,0,0,0,0,0,0,0,"1,906","13,767,731",$0
United Airlines,0,0,0,0,0,0,0,591,"8,723,919",$0
Branded Codeshare Partners,0,0,0,0,0,0,0,"1,315","5,043,812",$0
"1.  Number of passengers who were denied boarding involuntarily from flights that were oversold, and:",,,,,,,,,,
(a)  who qualified for denied boarding compensation within the meaning of § 250.5(a)(2) and 250.5(b)(2),,,,,,,,,,
(b) who qualified for denied boarding compensation within the meaning of § 250.5(a)(3) and 250.5(b)(3) ,,,,,,,,,,
"2.  Number of passengers denied boarding involuntarily from flights that were oversold, who did not qualify for denied boarding compensation due to:",,,,,,,,,,
"(a) The passenger does not comply fully with the carrier's contract of carriage or tariff provisions regarding ticketing, reconfirmation, check-in, and acceptability for transportation (see § 250.6(a)) ",,,,,,,,,,
(b) substitution of aircraft of lesser capacity or due to weight/balance restrictions on an aircraft with a designed passenger capacity of 60 or fewer seats (see § 250.6(b)),,,,,,,,,,
(c) The carrier arranges comparable air transportation or other transportation that is planned to arrive not later than 1 hour after the planned arrival time of the passenger's original flight or flights (see § 250.6(d))carriage,,,,,,,,,,
3.  TOTAL NUMBER DENIED BOARDING INVOLUNTARILY,,,,,,,,,,
"4.  Number of passengers denied boarding involuntarily from an oversold flight who actually received compensation, regardless of the type of compensation (e.g., voucher, cash).",,,,,,,,,,
5.  Number of passengers who voluntarily accepted a carrier’s offer to give up reserved space due to a potential oversale situation and did not travel on their original flight in exchange for a payment of the carrier’s choosing.,,,,,,,,,,
6.  Total Boardings,,,,,,,,,,
7.  Amount of compensation paid to passengers who voluntarily accepted a carrier’s offer to give up reserved space on an oversold flight that received cash or cash equivalent payment.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
